origin_id,origin_uid,id,uid,created_at
,7f9db14a16,JucqntyWx,7f9db14a16,2020-09-27 21:43:00.000000000
JucqntyWx,7f9db14a16,JucTkCyts,677cae9516,2020-10-03 15:29:00.000000000
JucqntyWx,7f9db14a16,JudorltVO,80fab53fd3,2020-10-03 15:34:00.000000000
JucqntyWx,7f9db14a16,JulIft0oE,7f9db14a16,2020-10-03 15:56:41.000000000
JucqntyWx,7f9db14a16,JuwKH8b8r,80fab53fd3,2020-10-03 17:14:00.000000000
,7f9db14a16,JuA9ZuTEU,7f9db14a16,2020-10-03 17:28:53.333333334
JuA9ZuTEU,7f9db14a16,JuE8SywWt,858c1fb5fc,2020-10-03 17:30:00.000000000
JuA9ZuTEU,7f9db14a16,JuEbwypXu,6707276961,2020-10-03 17:31:00.000000000
JuA9ZuTEU,7f9db14a16,JuEeJplAc,597ca64667,2020-10-03 17:34:00.000000000
JuA9ZuTEU,7f9db14a16,JuEBsjJKA,4113ccbc35,2020-10-03 17:36:00.000000000
JuA9ZuTEU,7f9db14a16,JuEW3ovRO,fb9b22743f,2020-10-03 17:38:00.000000000
JuA9ZuTEU,7f9db14a16,JuJGclTdD,8a00191ef2,2020-10-03 17:40:00.000000000
,7f9db14a16,JvWVfidIB,7f9db14a16,2020-10-03 17:42:00.000000000
JvWVfidIB,7f9db14a16,Jw2LJuhfw,7f9db14a16,2020-10-03 17:44:00.000000000
JvWVfidIB,7f9db14a16,Jw2MqEVg8,294d69809d,2020-10-03 17:44:00.000000000
JvWVfidIB,7f9db14a16,Jw2YZf6Mx,3b9c2f389b,2020-10-03 17:46:00.000000000
JvWVfidIB,7f9db14a16,Jw37SmMF1,a721a013bb,2020-10-03 17:47:00.000000000
JvWVfidIB,7f9db14a16,JwkmwbZNi,640de4b38d,2020-10-03 17:48:00.000000000
JvWVfidIB,7f9db14a16,JxcFt925C,7f9db14a16,2020-10-03 17:49:00.000000000
JvWVfidIB,7f9db14a16,JxcKYb79g,15556ecce1,2020-10-03 17:56:00.000000000
JvWVfidIB,7f9db14a16,JxcPo4cuH,9f4b51ecde,2020-10-03 17:56:00.000000000
JvWVfidIB,7f9db14a16,JyCexvObj,7f9db14a16,2020-10-03 17:56:00.000000000
